Distancia 0 mm ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,HORA,LED_ROJO,LED_VERDE,LED_AZUL,,V_Rojo,V_Verde,V_Azul,,,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,HORA,Numero_bits, Error_total,,Numero Bits,Error total,,Numero Bits,Error total,,
7:25:33 p. m.,0,0,1.82,,7:23:57 p. m.,0,0,1.85,,7:22:13 p. m.,0,0,1.87,,7:20:29 p. m.,0,0,1.87,,7:18:53 p. m.,0,0,1.88,,0,0,1.858,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:35 p. m.,0,0,1.58,,7:23:59 p. m.,0,0,1.63,,7:22:14 p. m.,0,0,1.65,,7:20:31 p. m.,0,0,1.65,,7:18:55 p. m.,0,0,1.71,,0,0,1.644,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:37 p. m.,0,0,1.8,,7:24:00 p. m.,0,0,1.83,,7:22:16 p. m.,0,0,1.83,,7:20:33 p. m.,0,0,1.85,,7:18:57 p. m.,0,0,1.86,,0,0,1.834,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:39 p. m.,0.01,0,2.09,,7:24:02 p. m.,0.01,0,2.15,,7:22:18 p. m.,0,0,2.12,,7:20:35 p. m.,0.01,0,2.13,,7:18:59 p. m.,0.01,0,2.12,,0.008,0,2.122,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:40 p. m.,0.01,0,2.06,,7:24:04 p. m.,0.01,0,2.05,,7:22:20 p. m.,0.01,0,2.04,,7:20:36 p. m.,0.01,0,2.04,,7:19:01 p. m.,0.01,0,2.06,,0.01,0,2.05,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:42 p. m.,0.01,0,1.72,,7:24:06 p. m.,0.01,0,1.74,,7:22:21 p. m.,0.01,0,1.76,,7:20:38 p. m.,0.01,0,1.73,,7:19:02 p. m.,0.01,0,1.75,,0.01,0,1.74,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:44 p. m.,0.02,0,1.6,,7:24:08 p. m.,0.01,0,1.61,,7:22:23 p. m.,0.01,0,1.62,,7:20:40 p. m.,0.01,0,1.62,,7:19:04 p. m.,0.01,0,1.72,,0.012,0,1.634,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:46 p. m.,0.02,0,1.88,,7:24:09 p. m.,0.02,0,1.91,,7:22:25 p. m.,0.02,0,1.9,,7:20:42 p. m.,0.02,0,1.93,,7:19:06 p. m.,0.02,0,1.95,,0.02,0,1.914,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:47 p. m.,0.02,0,2.08,,7:24:11 p. m.,0.02,0,2.07,,7:22:27 p. m.,0.02,0,2.08,,7:20:44 p. m.,0.02,0,2.13,,7:19:08 p. m.,0.02,0,2.07,,0.02,0,2.086,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
7:25:49 p. m.,0.02,0,1.89,,7:24:13 p. m.,0.02,0,1.92,,7:22:28 p. m.,0.02,0,1.96,,7:20:45 p. m.,0.02,0,1.95,,7:19:09 p. m.,0.03,0,1.97,,0.022,0,1.938,,,,,,,,,,,,,,,,,,,,,,,,#¡DIV/0!,#¡DIV/0!,,#¡DIV/0!,#¡DIV/0!,,
